empty_column,IMG1,IMG2,IMG3,TITLE,INFO1,INFO2,RIDDLE
,e401b.jpg,,,A RECORD OF THE BLACK PRINCE,A record of the Black Prince being a selection of such passages of his life as have been most quaintly and strikingly narrated by chroniclers of the period. By Henry Noel Humphreys. London [â¦],,"Pages worn but wisdom deep,
Secrets ancient that never sleep.
Bound in leather, inked with care,
Name me if you truly dare."
,f383-oxford-lectern-bible_img_4406_edited_white.jpg,f383-oxford-lectern-bible_img_4413_edited_smaller.jpg,,OXFORD LECTERN BIBLE,"This exceptionally large and heavy bible is intended for use on a church lectern, and is considered to be the masterpiece of Bruce Rogers. The type page is 9 by 13 inches, printed on a leaf 13 by 18 1/4 inches. It is accompanied by related publications: An account of the making of the Oxford Lectern Bible and A prospectus giving particulars and specimen pages of the new Oxford Lectern Bible.","The Holy Bible: containing the Old and New Testaments: translated out of the original tongues and with the former translations diligently compared and revised by His Majesty's special command. Oxford: Printed at the University Press, 1935. Typeface: Monotype Centaur 22pt. Printed by John Johnson, Printer to the University Designed by Bruce Rogers, 1870-1957","Born in a press, yet I preach with no sound,
I've crossed every ocean, the world I have found.
Not a traveler, yet always on the shelf
My value lies not in wealth, but in self."
,b109-bassandyne-bible_img_4355_edited_smaller021.jpg,b109-bassandyne-bible_img_4359_edited_smaller021.jpg,,BASSANDYNE BIBLE,"This bible, known as the Bassandyne Bible, was the first bible to be printed in Scotland. It is also known as the âBreeches Bibleâ since it uses the Geneva text, which translates Genesis, Chapter 3, Verse 7, as: âThey sewed leaves to-gether and made themselves breeches.â","The Bible and Holy Scriptures conteined in the Olde and Newe Testament translated according to the Ebrue and Greke, & conferred with the beste translations in divers languages ..
Printed in Edinburgh: by Alexander Arbuthnet, 1579.
New Testament has separate t.p.: At Edinburgh. Printed by Thomas Bassandyne, 1576
Binding: Old mottled calf, gold lettered red leather label on spine, five raised bands, marbled endpapers, blind tooled doublures, edges stained","I am the voice you'll never hear,
Yet on every page, I appear.
Curves and lines with hidden grace,
What gives each book its visual face?"
,b118-plantin-bible_img_4554_edited_3_smallerb.jpg,b118-plantin-bible_img_4560_edited_smaller.jpg,,PLANTIN BIBLE,"Bible. Latin. Vulgate. 1583.
Red leather 17th cent. Scottish or English binding, in 'cottage' style, gold tooled, six raised bands, marbled endpapers, edges gilt.","Typeface: Roman by Garamond; Italic by Granjon; two Hebrew faces cut for Daniel Bomberg; Paragon Greek of Granjon; Pica Greek of Pierre Haultin; Syriac cut for Plantin by Granjon; text set in Reale Romaine, 20pt.
Frontis. and six other plates engraved by Abraham de Bruyn after drawings by Crispin van den Broeck; thirty-six plates drawn by Pieter van der Borcht and engraved by de Bruyn and Wiericx.","I'm the father of fonts, the master of print,
My press gave the world a powerful hint.
In 1455, I made a bold stand
With Bibles that flew across the land."
,f195-doves-bible_img_4539_edited_smaller.jpg,,,DOVES BIBLE,"The English Bible: containing the Old Testament & the New : translated out of the original tongues by special command of His Majesty King James the First in 5 volumes. Hammersmith: The Doves Press, 1903.","Typeface: Doves type.
Printed in black with opening initial of each Book in red.
Printed by T.J. Cobden-Sanderson and Emery Walker.
Limp vellum binding, gold lettering on spine, bound at the Doves Bindery","I may not speak, but style I bring,
From Roman bold to italic swing.
Modern, serif, or one that's old
I dress each word in clothes so bold."
,d052.jpg,,,BASKERVILLE BIBLE,"The Holy Bible: containing the Old Testament and the New : translated out of the original tongues, and with the former translations diligently compared and revised by His Majesty's special command. Appointed to be read in churches. With the Apocrypha.
Cambridge: printed by John Baskerville, printer to the University, 1763","A list of subscribers is inserted before the text. N.T. followed by index and tables. N.T. has special t.p. With the matter usually found in the margins arranged in the form of footnotes.
Includes Tables of Scripture measures, weights, and coins, a Table of time, a Table of offices and conditions of men, a Table of kindred and affinity.
The second part has special t.p.: The New Testament of Our Lord and Saviour Jesus Christ, newly translated out if the original Greek â¦ Cambridge : Printed by John Baskerville, printer to the University, 1763. Dark green morocco-leather binding of the period, gold tooled design on covers and edges, gold tooled spine with gold lettering, seven raised bands, marbled endpapers, gold tooled doublures, gilt edges.
Bookplate on front pastedown: Non nobis solum, Eardley.
This edition has always been regarded as Baskerville's magnum opus as well as his most characteristic specimen.","Not just a library, but a legacy told,
In vellum and leather, in rubrics and gold.
From early Geneva to Coverdale's hand,
Which collection helps these works withstand?"
,a1.jpg,,,GUTENBERG BIBLE LEAF,"This leaf was purchased along with: A noble fragment of the Gutenberg Bible, with a bibliographical essay by A. Edward Newton. New York: William Edwin Rudge for Gabriel Wells, 1921, [2]p., bound in blue leather. There is apparently no definite evidence of who cut or cast the type, so in truth the association of the book with Gutenberg is no more than a plausible conjecture., Bible. Latin. Vulgate. 1455.
Mainz: [Printer of the 42-line Bible],1455.
1 leaf in wooden frame
Two lines supplied in blue, headlines in blue and red.
Two- and six-line blanks left for initials.",,"I'm sewn not with thread, but with thought,
Each chapter a stitch that's dearly wrought.
Not a cloak but warmth I bring
What am I in binding's ring?"
,e395.jpg,,,UNCLE TOM'S CABIN,"Uncle Tom's cabin: or, Life among the lowly : a tale of a slave in America by Harriet Beecher Stowe : with above one hundred and fifty illustrations / drawn by George Thomas â¦ [etc.]."," Illustrated library ed. London (Milford House, Strand): Nathaniel Cooke, 1853 Blue paper binding, with gold design on front cover and spine, yellow endpapers. Bradbury and Evans (Firm), printer.","From silent monks to presses loud,
I've passed through time, both meek and proud.
I house all ink, from fact to fable
What am I, if not the table?"
,e275-autotypography_img_4509_modified_smaller.jpg,e275-autotypography_img_4510_modified_whole-book_smaller.jpg,,AUTOTYPOGRAPHY,"The book is very small and fragile, so we have transcribed the full text as accurately as possible so we can limit use of the original. The text is divided into pages as in the book, without attempting to replicate the page layouts and fonts exactly. We may be able to produce a photographic replica in due course.",,"I dwell in silence, line by line,
But speak aloud within your mind.
My covers close, yet worlds unfold
What am I that stories hold?"
,f308-kelmscott-chaucer_img_4542_edited_smaller.jpg,f308-kelmscott-chaucer_img_4544_edited_both-pages.jpg,#f308-kelmscott-chaucer_img_4544_edited_single-page.jpg,KELMSCOTT CHAUCER,"The Kelmscott Chaucer was the crowning glory of William Morris's career as book designer and typographer. Edward Burne-Jones created the 87 woodcuts that adorn the book, but the font, layout and decorations in themselves are things of great beauty. Burne-Jones referred to it as âa pocket cathedralâ though you would need to have exceptionally large pockets! 425 copies of the book were made in total, and the work took four years to complete.","Printed in black and red with ornamental initials; red print in margins.Typeface: Troy typeBound in plain blue boards, with cloth spine, in blue leather padded slip case, with gold lettering on front
Colophon reads: Here ends the book of the Works of Geoffrey Chaucer, edited by F.S. Ellis; ornamented with pictures by Sir Edward Burne Jones, and engraved on wood by W.H. Hooper. Printed by me William Morris at The Kelmscott Press, Upper Mall, Hammersmith â¦ finished on the 8th day of May 1896.","Once carved in stone, then brushed on scrolls,
Now printed clean in ordered roles.
I hold the laws, the myths, the creed
What ancient form do all men read?"
